PopNumber,PopName,Year,ML,Rep,Plant_ID,ShelfNumber,ShelfPlacement,SEEWRITTENDATA.GerminationDate,LC1,H1,LCH1_Date,LC2,H2,LCH2_Date,GrowthRate_LC (LC2-LC1)/days,GrowthRate_H (H2-H1)/days,FirstFlower_DayInDec
18,Marion2,2012,3,3,3.5,3,5,,3,19.8,10.18,23,88.5,11.9,0.909090909,3.122727273,NA
18,Marion2,2012,3,4,3.6,3,6,10/6/22,3,14.4,10.18,32,80.7,11.9,1.318181818,3.013636364,NA
1,Billings,2003,5,2,3.7,3,7,,4,8.5,10.18,50,160.3,11.9,2.090909091,6.9,9
10,DuplinWest,2003,13,2,3.8,3,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NewBildad,2016,4,4,3.9,3,9,,2,2.1,10.18,32,116,11.9,1.363636364,5.177272727,12
10,DuplinWest,2016,18,1,3.1,3,10,,4,17,10.18,42,172,11.9,1.727272727,7.045454545,14
10,DuplinWest,2016,13,3,3.11,3,11,,3,8.8,10.18,33,115.9,11.9,1.363636364,4.868181818,14
14,HareRoad,2012,33,4,3.12,3,12,,4,30,10.18,47,166.2,11.9,1.954545455,6.190909091,13
20,NewBildad,2016,4,2,3.13,3,13,,4,26.1,10.18,35,143,11.9,1.409090909,5.313636364,16
14,HareRoad,2012,33,2,3.14,3,14,10/6/22,5,19.6,10.18,38,133.4,11.9,1.5,5.172727273,15
14,HareRoad,2012,30,1,3.15,3,15,10/6/22,5,32.9,10.18,31,67.8,11.9,1.181818182,1.586363636,9
14,HareRd,2003,12,1,3.16,3,16,10/6/22,3,29.4,10.18,29,118.2,11.9,1.181818182,4.036363636,20
18,Marion2,2012,3,2,3.17,3,17,,3,9.1,10.18,29,92.7,11.9,1.181818182,3.8,16
14,HareRd,2003,6,2,3.18,3,18,,3,37,10.18,39,150.4,11.9,1.636363636,5.154545455,13
32,WalnutGrove,2003,17,1,3.19,3,19,,3,6.9,10.18,56,85.6,11.9,2.409090909,3.577272727,16
14,HareRoad,2012,30,2,3.2,3,20,10/6/22,5,29.5,10.18,40,175,11.9,1.590909091,6.613636364,12
14,HareRoad,2012,33,3,3.21,3,21,10/6/22,4,31,10.18,53,159,11.9,2.227272727,5.818181818,11
10,DuplinWest,2012,32,X,3.22,3,22,10/6/22,3,8.8,10.18,34,164,11.9,1.409090909,7.054545455,13
10,DuplinWest,2016,13,X,3.23,3,23,,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,HareRoad,2012,30,3,3.24,3,24,10/6/22,3,10.4,10.18,17,62.3,11.9,0.636363636,2.359090909,15
10,DuplinWest,2016,6,2,3.25,3,25,10/6/22,3,6,10.18,19,72.2,11.9,0.727272727,3.009090909,15
15,Horry1,2012,24,3,4.1,4,1,10/6/22,4,6.2,10.17,31,88.6,11.7,1.285714286,3.923809524,NA
20,NewBildad,2016,7,3,4.2,4,2,10/6/22,4,21.1,10.17,25,120.6,11.7,1,4.738095238,18
15,Horry1,2012,24,2,4.3,4,3,,3,5.4,10.17,31,137.2,11.7,1.333333333,6.276190476,9
32,WalnutGrove,2012,18,4,4.4,4,4,10/6/22,4,8.2,10.17,32,114.1,11.7,1.333333333,5.042857143,8
14,HareRd,2003,7,1,4.5,4,5,,3,13.9,10.17,27,109.4,11.7,1.142857143,4.547619048,12
15,Horry1,2012,5,3,4.6,4,6,10/6/22,4,16.2,10.17,33,167.4,11.7,1.380952381,7.2,9
14,HareRd,2003,7,3,4.7,4,7,,3,5.4,10.17,28,123,11.7,1.19047619,5.6,14
12,Florence,2003,13,3,4.8,4,8,10/6/22,5,20.6,10.17,44,114.6,11.7,1.857142857,4.476190476,16
10,DuplinWest,2012,36,1,4.9,4,9,,3,2.3,10.17,24,134.5,11.7,1,6.295238095,12
10,DuplinWest,2012,36,2,4.1,4,10,,3,4.1,10.17,29,140.9,11.7,1.238095238,6.514285714,12
12,Florence,2012,29,3,4.11,4,11,10/6/22,4,28.3,10.17,41,103.3,11.7,1.761904762,3.571428571,14
10,DuplinWest,2012,36,3,4.12,4,12,10/6/22,4,12,10.17,43,150.9,11.7,1.857142857,6.614285714,12
12,Florence,2012,29,1,4.13,4,13,10/6/22,4,20.1,10.17,45,127.2,11.7,1.952380952,5.1,8
10,DuplinWest,2012,36,4,4.14,4,14,10/6/22,4,8.3,10.17,40,125.6,11.7,1.714285714,5.585714286,8
12,Florence,2012,29,2,4.15,4,15,10/6/22,5,15.6,10.17,37,110.5,11.7,1.523809524,4.519047619,14
19,McKinnon,2012,36,3,4.16,4,16,10/6/22,4,9.5,10.17,34,120.3,11.7,1.428571429,5.276190476,12
12,Florence,2012,8,2,4.17,4,17,10/6/22,4,3.6,10.17,27,85.7,11.7,1.095238095,3.90952381,15
12,Florence,2012,35,3,4.18,4,18,10/6/22,3,3,10.17,19,85.7,11.7,0.761904762,3.938095238,NA
12,Florence,2003,2,3,4.19,4,19,10/6/22,5,31.6,10.17,38,136.4,11.7,1.571428571,4.99047619,20
12,Florence,2003,X,2,4.2,4,20,10/6/22,4,19.3,10.17,42,137,11.7,1.80952381,5.604761905,16
19,McKinnon,2012,6,4,4.21,4,21,,5,16.4,10.17,36,147,11.7,1.476190476,6.219047619,14
